,id,document,label
0,9976970,더빙 진짜 짜증 나 목소리,0
1,3819312,흠 포스터 보 초딩 영화 줄 오버 연기 가볍 않,1
2,10265843,너무 그래서 보 것 추천 하,0
3,9045019,교도소 이야기 솔직히 재미 없 평점 조정,0
4,6483659,사이몬 익살 스럽 연기 돋보이 영화 스파이더맨 늙 보이 하 커스틴 던스트 너무나,1
5,5403919,막 걸음마 떼 세 초등학교 학년 살 용 영화 별반 개 아깝,0
6,7797314,원작 긴장감 제대로 살리 내 못하,0
7,9443947,반개 아깝 욕 나오 다 응 경 길용우 연기 생활 년 정말 발 하 납치 감금 반복 반복 드라마 가족 없 연기 못하 사람 모이,0
8,7156791,액션 없 재미 있 안 되 영화,1
9,5912145,왜 하 평점 낮 걸 꽤 보 만 하 데 헐리우드 식 하 너무 길들이 지 있,1
10,9008700,인피니트 짱 다 진짜 짱,1
11,10217543,보 때 눈물 나서 죽 90년대 향수 자극 허진호 감성 절 멜로 달인 이다,1
12,5957425,울 손 들 횡단보도 건너 때 뛰쳐나오 뻔 범수 연기 드럽 못하,0
13,8628627,하 하 좋 신문 기사 보다 보 자꾸 잊어버리 다 사람 것,1
14,9864035,취향 존중 하 다 진짜 생 극장 보 영화 중 가장 노 재 노 감동 임 스토리 어거지 감동 어거지,0
15,6852435,냥 매번 긴장 되,1
16,9143163,참 사람 웃기 게 바스코 이기 락스 코 까 바비 이기 아이돌 깔 다 그냥 까 싶 안 달 나 것 보이,1
17,4891476,굿바이 레닌 표절 것 이해 하 왜 뒤 갈수록 재미 없 지,0
18,7465483,이건 정말 깨알 캐스팅 하 않 하 내용 구성 잘 버 러 진 깨알 드,1
19,3989148,약탈 자 위하 변명 착 놈 절대 걸,1
20,4581211,나름 하 뜻 있 듯 그냥 학생 선생 놀아나 영화 절대,1
21,2718894,보 웃 지 않 건 하,1
22,9705777,재미없 하 같 음식 영화 만찬 하 넘 차 만찬 이야기 있 음식 보 재미 있 이건 보 게 없 음식 별로 안 나오 핀란드 풍경 구경 하 데 별로 안 나오,0
23,471131,절대 하 영화 수작 걸 말씀 드리,1
24,8480268,주제 좋 중반 하,0
25,4254115,다 짜르 끄 그래서 납득 하 수 없 거 그렇 끄 꼭 그렇 걸 끄,0
26,7295746,고추 털 버리 하 텐 데,1
27,5457633,카 밀 라벨 발 연기,0
28,6091784,,1
29,8322926,센스 있 연출력 하 캐스팅 90년대 향 수 그래서 점,1
30,6331922,엄 포스 위력 다시 번 깨닫 하 주 적 남 꽃 검사 연기 정말 좋 완전 명품 드라마,1
31,9005897,졸 쓰레기 하 말 아시 간 아깝,0
32,164908,재밌 별점 왜 이리 낮,1
33,9671124,라도 기대 하 죄인 죄인,0
34,5712231,아직 드라마 인생 최고,1
35,4726746,패션 대하 열정 안나 윈 투어,1
36,7203432,키 이틀 리가 연기 하 하 건 대체 정신 장애 틱 장애,0
37,112724,허허 원 작가 정신 나가 유령 재미있,1
38,1105872,포스터 있 보이 관객 명,0
39,4805788,영화 왜 이렇 평가 받 지 모르,1
40,9336496,하 하 매력 영화,1
41,9994900,다 알바 가 내용 없 무섭 거도 없 웃기 거도 없 완전 싱겁 영화 시간 넘 아깝 완전 낚이,0
42,6760577,오 두 서리 하 굶주리,1
43,3440864,정말 맘 들 그래서 또 보 싶 또 보 방법 없,1
44,8548510,윤제문 멋지 배우 발견 하 되 하 일탈 하 미소 머금 게 하 음악 조금 아쉽 점 주 싶 평점 올리 싶 점 주,1
45,7719892,평점 속 마시기 시간 낭비 돈 낭비,0
46,9440670,리얼리티 뛰어나 길 하 크 공감 안 가 다 이민기 캐릭터 정신의학 분노 조절 장애 초기 증상 거 툭하면 사람 패 욕 하 물건 파손 하 조금 오바 극 초반 하 가 갈수록 민 정신 상태 공감 불가,0
47,7991636,마이너스 왜 없 보 영화 수준 딱 알 하 북한 거 만들 돈 대 주,0
48,4679407,나 영화 사랑합니다,0
49,9837767,데 리스 타르 가르 용의 주인 되 싶 누이 근친상간 하 다니 소설 속 제일 멋지 놈 자 메 라 니스 터 드라마 속 드래곤 용 제일 멋 지 웃음 감독 토르 다크 월드 말 잡수 기본 선방 하,1
